param1,param2,param3,var1
-0.500000,-0.500000,-0.500000,0.980000
-0.492857,-0.500000,-0.500000,0.712549
-0.485714,-0.500000,-0.500000,0.560409
-0.478571,-0.500000,-0.500000,0.466342
-0.471429,-0.500000,-0.500000,0.402432
-0.464286,-0.500000,-0.500000,0.356221
-0.457143,-0.500000,-0.500000,0.321268
-0.450000,-0.500000,-0.500000,0.293906
-0.442857,-0.500000,-0.500000,0.271916
-0.435714,-0.500000,-0.500000,0.253862
-0.428571,-0.500000,-0.500000,0.238753
-0.421429,-0.500000,-0.500000,0.225951
-0.414286,-0.500000,-0.500000,0.214953
-0.407143,-0.500000,-0.500000,0.205373
-0.400000,-0.500000,-0.500000,0.196994
-0.392857,-0.500000,-0.500000,0.189583
-0.385714,-0.500000,-0.500000,0.182945
-0.378571,-0.500000,-0.500000,0.177016
-0.371429,-0.500000,-0.500000,0.171663
-0.364286,-0.500000,-0.500000,0.166765
-0.357143,-0.500000,-0.500000,0.162325
-0.350000,-0.500000,-0.500000,0.158253
-0.342857,-0.500000,-0.500000,0.154463
-0.335714,-0.500000,-0.500000,0.150989
-0.328571,-0.500000,-0.500000,0.147763
-0.321429,-0.500000,-0.500000,0.144717
-0.314286,-0.500000,-0.500000,0.141903
-0.307143,-0.500000,-0.500000,0.139261
-0.300000,-0.500000,-0.500000,0.136737
-0.292857,-0.500000,-0.500000,0.134389
-0.285714,-0.500000,-0.500000,0.132167
-0.278571,-0.500000,-0.500000,0.130020
-0.271429,-0.500000,-0.500000,0.128014
-0.264286,-0.500000,-0.500000,0.126101
-0.257143,-0.500000,-0.500000,0.124237
-0.250000,-0.500000,-0.500000,0.122487
-0.242857,-0.500000,-0.500000,0.120808
-0.235714,-0.500000,-0.500000,0.119159
-0.228571,-0.500000,-0.500000,0.117607
-0.221429,-0.500000,-0.500000,0.116110
-0.214286,-0.500000,-0.500000,0.114629
-0.207143,-0.500000,-0.500000,0.113232
-0.200000,-0.500000,-0.500000,0.111880
-0.192857,-0.500000,-0.500000,0.110534
-0.185714,-0.500000,-0.500000,0.109262
-0.178571,-0.500000,-0.500000,0.108027
-0.171429,-0.500000,-0.500000,0.106792
-0.164286,-0.500000,-0.500000,0.105623
-0.157143,-0.500000,-0.500000,0.104484
-0.150000,-0.500000,-0.500000,0.103342
-0.142857,-0.500000,-0.500000,0.102259
-0.135714,-0.500000,-0.500000,0.101202
-0.128571,-0.500000,-0.500000,0.100140
-0.121429,-0.500000,-0.500000,0.099131
-0.114286,-0.500000,-0.500000,0.098145
-0.107143,-0.500000,-0.500000,0.097153
-0.100000,-0.500000,-0.500000,0.096209
-0.092857,-0.500000,-0.500000,0.095286
-0.085714,-0.500000,-0.500000,0.094356
-0.078571,-0.500000,-0.500000,0.093471
-0.071429,-0.500000,-0.500000,0.092605
-0.064286,-0.500000,-0.500000,0.091732
-0.057143,-0.500000,-0.500000,0.090901
-0.050000,-0.500000,-0.500000,0.090089
-0.042857,-0.500000,-0.500000,0.089268
-0.035714,-0.500000,-0.500000,0.088489
-0.028571,-0.500000,-0.500000,0.087726
-0.021429,-0.500000,-0.500000,0.086956
