param1,param2,param3,var1
9.00,-1.8,0.5,0.125751
9.25,-1.8,0.5,0.124118
9.50,-1.8,0.5,0.122545
9.75,-1.8,0.5,0.121066
10.00,-1.8,0.5,0.119598
10.25,-1.8,0.5,0.118178
10.50,-1.8,0.5,0.116838
10.75,-1.8,0.5,0.115502
11.00,-1.8,0.5,0.114205
11.25,-1.8,0.5,0.112976
11.50,-1.8,0.5,0.111748
11.75,-1.8,0.5,0.110552
12.00,-1.8,0.5,0.109416
12.25,-1.8,0.5,0.108278
12.50,-1.8,0.5,0.107168
12.75,-1.8,0.5,0.106111
13.00,-1.8,0.5,0.10505
13.25,-1.8,0.5,0.104013
13.50,-1.8,0.5,0.103024
13.75,-1.8,0.5,0.102031
14.00,-1.8,0.5,0.101059
14.25,-1.8,0.5,0.100131
14.50,-1.8,0.5,0.099199
14.75,-1.8,0.5,0.098286
15.00,-1.8,0.5,0.097414
15.25,-1.8,0.5,0.096537
15.50,-1.8,0.5,0.095677
15.75,-1.8,0.5,0.094857
16.00,-1.8,0.5,0.094032
16.25,-1.8,0.5,0.093224
16.50,-1.8,0.5,0.092453
16.75,-1.8,0.5,0.091678
17.00,-1.8,0.5,0.090919
17.25,-1.8,0.5,0.090196
17.50,-1.8,0.5,0.089468
17.75,-1.8,0.5,0.088757
18.00,-1.8,0.5,0.088081
18.25,-1.8,0.5,0.087401
18.50,-1.8,0.5,0.086736
18.75,-1.8,0.5,0.086106
19.00,-1.8,0.5,0.085473
19.25,-1.8,0.5,0.084855
19.50,-1.8,0.5,0.084272
19.75,-1.8,0.5,0.083685
20.00,-1.8,0.5,0.083115
20.25,-1.8,0.5,0.082578
20.50,-1.8,0.5,0.082039
20.75,-1.8,0.5,0.081515
21.00,-1.8,0.5,0.081026
21.25,-1.8,0.5,0.080534
21.50,-1.8,0.5,0.080058
21.75,-1.8,0.5,0.079616
22.00,-1.8,0.5,0.079172
22.25,-1.8,0.5,0.078745
22.50,-1.8,0.5,0.078351
22.75,-1.8,0.5,0.077956
23.00,-1.8,0.5,0.077578
23.25,-1.8,0.5,0.077233
23.50,-1.8,0.5,0.076888
23.75,-1.8,0.5,0.076559
24.00,-1.8,0.5,0.076263
24.25,-1.8,0.5,0.075968
24.50,-1.8,0.5,0.075689
24.75,-1.8,0.5,0.075443
25.00,-1.8,0.5,0.075198
25.25,-1.8,0.5,0.07497
25.50,-1.8,0.5,0.074774
25.75,-1.8,0.5,0.07458
26.00,-1.8,0.5,0.074402
26.25,-1.8,0.5,0.074257
26.50,-1.8,0.5,0.074113
26.75,-1.8,0.5,0.073986
27.00,-1.8,0.5,0.073891
27.25,-1.8,0.5,0.073798
27.50,-1.8,0.5,0.073722
27.75,-1.8,0.5,0.073678
28.00,-1.8,0.5,0.073635
28.25,-1.8,0.5,0.073609
28.50,-1.8,0.5,0.073614
28.75,-1.8,0.5,0.073622
29.00,-1.8,0.5,0.073914333
29.25,-1.8,0.5,0.074206667
29.50,-1.8,0.5,0.074499
29.75,-1.8,0.5,0.074513
30.00,-1.8,0.5,0.074543
30.25,-1.8,0.5,0.074567
30.50,-1.8,0.5,0.074595
30.75,-1.8,0.5,0.074635
31.00,-1.8,0.5,0.074666
31.25,-1.8,0.5,0.074697
31.50,-1.8,0.5,0.074737
31.75,-1.8,0.5,0.074765
32.00,-1.8,0.5,0.074789
32.25,-1.8,0.5,0.074818
32.50,-1.8,0.5,0.074832
32.75,-1.8,0.5,0.074839
33.00,-1.8,0.5,0.074845
33.25,-1.8,0.5,0.074833
33.50,-1.8,0.5,0.07481
33.75,-1.8,0.5,0.074782
34.00,-1.8,0.5,0.074732
34.25,-1.8,0.5,0.074666
34.50,-1.8,0.5,0.07459
34.75,-1.8,0.5,0.074487
35.00,-1.8,0.5,0.074365
0.00,-1.6,0.5,0.98
0.25,-1.6,0.5,0.713734
0.50,-1.6,0.5,0.563236
0.75,-1.6,0.5,0.470698
1.00,-1.6,0.5,0.407865
1.25,-1.6,0.5,0.36251
1.50,-1.6,0.5,0.328372
1.75,-1.6,0.5,0.301573
2.00,-1.6,0.5,0.280052
2.25,-1.6,0.5,0.262473
2.50,-1.6,0.5,0.247712
2.75,-1.6,0.5,0.235195
3.00,-1.6,0.5,0.224497
3.25,-1.6,0.5,0.215155
3.50,-1.6,0.5,0.206962
3.75,-1.6,0.5,0.199749
4.00,-1.6,0.5,0.193285
4.25,-1.6,0.5,0.187483
4.50,-1.6,0.5,0.182261
4.75,-1.6,0.5,0.177496
5.00,-1.6,0.5,0.173144
5.25,-1.6,0.5,0.169159
5.50,-1.6,0.5,0.165472
5.75,-1.6,0.5,0.162059
6.00,-1.6,0.5,0.158888
6.25,-1.6,0.5,0.155924
6.50,-1.6,0.5,0.153148
6.75,-1.6,0.5,0.15054
7.00,-1.6,0.5,0.148078
7.25,-1.6,0.5,0.145752
7.50,-1.6,0.5,0.143549
7.75,-1.6,0.5,0.141447
8.00,-1.6,0.5,0.139451
8.25,-1.6,0.5,0.137545
8.50,-1.6,0.5,0.135712
8.75,-1.6,0.5,0.133962
9.00,-1.6,0.5,0.13228
9.25,-1.6,0.5,0.130651
9.50,-1.6,0.5,0.12909
9.75,-1.6,0.5,0.127583
10.00,-1.6,0.5,0.126113
10.25,-1.6,0.5,0.1247
10.50,-1.6,0.5,0.123331
10.75,-1.6,0.5,0.121988
11.00,-1.6,0.5,0.120695
11.25,-1.6,0.5,0.119436
11.50,-1.6,0.5,0.118197
11.75,-1.6,0.5,0.117002
12.00,-1.6,0.5,0.115836
12.25,-1.6,0.5,0.114684
12.50,-1.6,0.5,0.113572
12.75,-1.6,0.5,0.112484
13.00,-1.6,0.5,0.111407
13.25,-1.6,0.5,0.110365
13.50,-1.6,0.5,0.109346
13.75,-1.6,0.5,0.108335
14.00,-1.6,0.5,0.107356
14.25,-1.6,0.5,0.106397
14.50,-1.6,0.5,0.105445
14.75,-1.6,0.5,0.104524
15.00,-1.6,0.5,0.103621
15.25,-1.6,0.5,0.102724
15.50,-1.6,0.5,0.101856
15.75,-1.6,0.5,0.101005
16.00,-1.6,0.5,0.100159
16.25,-1.6,0.5,0.099341
16.50,-1.6,0.5,0.09854
16.75,-1.6,0.5,0.097744
17.00,-1.6,0.5,0.096974
17.25,-1.6,0.5,0.096221
17.50,-1.6,0.5,0.095474
17.75,-1.6,0.5,0.094752
18.00,-1.6,0.5,0.094046
18.25,-1.6,0.5,0.093346
18.50,-1.6,0.5,0.092672
18.75,-1.6,0.5,0.092013
19.00,-1.6,0.5,0.091362
19.25,-1.6,0.5,0.090735
19.50,-1.6,0.5,0.090124
19.75,-1.6,0.5,0.08952
20.00,-1.6,0.5,0.088941
20.25,-1.6,0.5,0.088378
20.50,-1.6,0.5,0.087823
20.75,-1.6,0.5,0.087292
21.00,-1.6,0.5,0.086777
21.25,-1.6,0.5,0.086272
21.50,-1.6,0.5,0.08579
21.75,-1.6,0.5,0.085325
22.00,-1.6,0.5,0.08487
22.25,-1.6,0.5,0.084439
22.50,-1.6,0.5,0.084024
22.75,-1.6,0.5,0.08362
23.00,-1.6,0.5,0.083239
23.25,-1.6,0.5,0.082875
23.50,-1.6,0.5,0.082523
23.75,-1.6,0.5,0.082194
24.00,-1.6,0.5,0.081882
