param1,param2,param3,var1
26.0,6.4,0.5,0.06339
28.0,6.4,0.5,0.060907
30.0,6.4,0.5,0.057457
32.0,6.4,0.5,0.055978
34.0,6.4,0.5,0.054459
35.0,6.4,0.5,0.05355
0.0,7.2,0.5,0.98
2.0,7.2,0.5,0.420717
4.0,7.2,0.5,0.273297
6.0,7.2,0.5,0.205846
8.0,7.2,0.5,0.166791
10.0,7.2,0.5,0.140961
12.0,7.2,0.5,0.122364
14.0,7.2,0.5,0.108181
16.0,7.2,0.5,0.096968
18.0,7.2,0.5,0.087921
20.0,7.2,0.5,0.080553
22.0,7.2,0.5,0.074578
24.0,7.2,0.5,0.069806
26.0,7.2,0.5,0.066093
28.0,7.2,0.5,0.063333
30.0,7.2,0.5,0.059468
32.0,7.2,0.5,0.057764
34.0,7.2,0.5,0.056053
35.0,7.2,0.5,0.055062
0.0,8.0,0.5,0.98
2.0,8.0,0.5,0.44462
4.0,8.0,0.5,0.291788
6.0,8.0,0.5,0.220198
8.0,8.0,0.5,0.178318
10.0,8.0,0.5,0.150506
12.0,8.0,0.5,0.130452
14.0,8.0,0.5,0.115172
16.0,8.0,0.5,0.103107
18.0,8.0,0.5,0.093375
20.0,8.0,0.5,0.08545
22.0,8.0,0.5,0.079011
24.0,8.0,0.5,0.073837
26.0,8.0,0.5,0.069772
28.0,8.0,0.5,0.066697
30.0,8.0,0.5,0.062394
32.0,8.0,0.5,0.060438
34.0,8.0,0.5,0.058509
35.0,8.0,0.5,0.057423
0.0,8.8,0.5,0.98
2.0,8.8,0.5,0.466569
4.0,8.8,0.5,0.309371
6.0,8.8,0.5,0.234105
8.0,8.8,0.5,0.189628
10.0,8.8,0.5,0.159954
12.0,8.8,0.5,0.138521
14.0,8.8,0.5,0.122185
16.0,8.8,0.5,0.109296
18.0,8.8,0.5,0.098902
20.0,8.8,0.5,0.090433
22.0,8.8,0.5,0.083537
24.0,8.8,0.5,0.077974
26.0,8.8,0.5,0.073567
28.0,8.8,0.5,0.070187
30.0,8.8,0.5,0.065482
32.0,8.8,0.5,0.063283
34.0,8.8,0.5,0.061145
35.0,8.8,0.5,0.059967
0.0,9.6,0.5,0.98
2.0,9.6,0.5,0.487073
4.0,9.6,0.5,0.326347
6.0,9.6,0.5,0.247763
8.0,9.6,0.5,0.200865
10.0,9.6,0.5,0.169421
12.0,9.6,0.5,0.146658
14.0,9.6,0.5,0.129299
16.0,9.6,0.5,0.1156
18.0,9.6,0.5,0.104552
20.0,9.6,0.5,0.095545
22.0,9.6,0.5,0.088197
24.0,9.6,0.5,0.082246
26.0,9.6,0.5,0.077502
28.0,9.6,0.5,0.073822
30.0,9.6,0.5,0.068742
32.0,9.6,0.5,0.066308
34.0,9.6,0.5,0.063965
35.0,9.6,0.5,0.062697
0.0,10.4,0.5,0.98
2.0,10.4,0.5,0.50649
4.0,10.4,0.5,0.342929
6.0,10.4,0.5,0.261323
8.0,10.4,0.5,0.212143
10.0,10.4,0.5,0.178992
12.0,10.4,0.5,0.154934
14.0,10.4,0.5,0.136569
16.0,10.4,0.5,0.122066
18.0,10.4,0.5,0.110368
20.0,10.4,0.5,0.100824
22.0,10.4,0.5,0.093022
24.0,10.4,0.5,0.086683
26.0,10.4,0.5,0.081602
28.0,10.4,0.5,0.077622
30.0,10.4,0.5,0.072181
32.0,10.4,0.5,0.069512
34.0,10.4,0.5,0.066964
35.0,10.4,0.5,0.065606
0.0,11.0,0.5,0.98
2.0,11.0,0.5,0.520484
4.0,11.0,0.5,0.355181
6.0,11.0,0.5,0.271483
8.0,11.0,0.5,0.220662
10.0,11.0,0.5,0.186271
12.0,11.0,0.5,0.161259
14.0,11.0,0.5,0.142144
16.0,11.0,0.5,0.127043
18.0,11.0,0.5,0.114855
20.0,11.0,0.5,0.104904
22.0,11.0,0.5,0.09676
24.0,11.0,0.5,0.090127
26.0,11.0,0.5,0.08479
28.0,11.0,0.5,0.080587
30.0,11.0,0.5,0.074882
32.0,11.0,0.5,0.072039
34.0,11.0,0.5,0.069339
35.0,11.0,0.5,0.067913
0.0,0.0,0.6,0.98
2.0,0.0,0.6,0.98
4.0,0.0,0.6,0.98
6.0,0.0,0.6,0.98
8.0,0.0,0.6,0.98
10.0,0.0,0.6,0.98
12.0,0.0,0.6,0.98
14.0,0.0,0.6,0.98
16.0,0.0,0.6,0.98
18.0,0.0,0.6,0.98
20.0,0.0,0.6,0.98
22.0,0.0,0.6,0.98
24.0,0.0,0.6,0.98
26.0,0.0,0.6,0.98
28.0,0.0,0.6,0.98
30.0,0.0,0.6,0.98
32.0,0.0,0.6,0.98
34.0,0.0,0.6,0.98
35.0,0.0,0.6,0.98
0.0,0.8,0.6,0.98
2.0,0.8,0.6,0.380991
4.0,0.8,0.6,0.285891
6.0,0.8,0.6,0.245427
8.0,0.8,0.6,0.221115
10.0,0.8,0.6,0.203486
12.0,0.8,0.6,0.189262
14.0,0.8,0.6,0.177144
16.0,0.8,0.6,0.166618
18.0,0.8,0.6,0.157525
20.0,0.8,0.6,0.149871
22.0,0.8,0.6,0.143735
24.0,0.8,0.6,0.139217
26.0,0.8,0.6,0.136407
28.0,0.8,0.6,0.135356
30.0,0.8,0.6,0.136292
32.0,0.8,0.6,0.137195
34.0,0.8,0.6,0.137692
35.0,0.8,0.6,0.137457
0.0,1.6,0.6,0.98
2.0,1.6,0.6,0.300999
4.0,1.6,0.6,0.209788
6.0,1.6,0.6,0.172591
8.0,1.6,0.6,0.151054
10.0,1.6,0.6,0.136007
12.0,1.6,0.6,0.124285
14.0,1.6,0.6,0.114602
16.0,1.6,0.6,0.106405
18.0,1.6,0.6,0.099464
20.0,1.6,0.6,0.093703
22.0,1.6,0.6,0.089113
24.0,1.6,0.6,0.085713
26.0,1.6,0.6,0.083519
28.0,1.6,0.6,0.082532
30.0,1.6,0.6,0.082749
32.0,1.6,0.6,0.082967
34.0,1.6,0.6,0.082897
35.0,1.6,0.6,0.082526
0.0,2.4,0.6,0.98
2.0,2.4,0.6,0.289089
4.0,2.4,0.6,0.193145
6.0,2.4,0.6,0.154163
8.0,2.4,0.6,0.131944
10.0,2.4,0.6,0.116769
12.0,2.4,0.6,0.105235
14.0,2.4,0.6,0.095922
16.0,2.4,0.6,0.088185
18.0,2.4,0.6,0.081723
20.0,2.4,0.6,0.076401
22.0,2.4,0.6,0.072161
24.0,2.4,0.6,0.068979
26.0,2.4,0.6,0.066837
28.0,2.4,0.6,0.065712
30.0,2.4,0.6,0.065388
32.0,2.4,0.6,0.065223
34.0,2.4,0.6,0.064834
35.0,2.4,0.6,0.064369
0.0,3.2,0.6,0.98
2.0,3.2,0.6,0.315067
4.0,3.2,0.6,0.205457
6.0,3.2,0.6,0.159926
8.0,3.2,0.6,0.134089
10.0,3.2,0.6,0.11674
12.0,3.2,0.6,0.103841
14.0,3.2,0.6,0.093647
16.0,3.2,0.6,0.085329
18.0,3.2,0.6,0.078468
20.0,3.2,0.6,0.072848
22.0,3.2,0.6,0.06835
24.0,3.2,0.6,0.064905
26.0,3.2,0.6,0.062464
28.0,3.2,0.6,0.060978
30.0,3.2,0.6,0.059323
32.0,3.2,0.6,0.05878
34.0,3.2,0.6,0.058069
35.0,3.2,0.6,0.057485
0.0,4.0,0.6,0.98
2.0,4.0,0.6,0.341903
4.0,4.0,0.6,0.221071
6.0,4.0,0.6,0.169665
8.0,4.0,0.6,0.140414
10.0,4.0,0.6,0.120914
12.0,4.0,0.6,0.106585
14.0,4.0,0.6,0.095406
16.0,4.0,0.6,0.086384
18.0,4.0,0.6,0.079
20.0,4.0,0.6,0.072967
22.0,4.0,0.6,0.068121
24.0,4.0,0.6,0.064356
26.0,4.0,0.6,0.061595
28.0,4.0,0.6,0.059771
30.0,4.0,0.6,0.057196
32.0,4.0,0.6,0.056334
34.0,4.0,0.6,0.055349
35.0,4.0,0.6,0.054659
0.0,4.8,0.6,0.98
2.0,4.8,0.6,0.367504
4.0,4.8,0.6,0.237434
6.0,4.8,0.6,0.180792
8.0,4.8,0.6,0.148384
10.0,4.8,0.6,0.126837
12.0,4.8,0.6,0.11111
14.0,4.8,0.6,0.098936
16.0,4.8,0.6,0.089182
18.0,4.8,0.6,0.08124
20.0,4.8,0.6,0.074762
22.0,4.8,0.6,0.069541
24.0,4.8,0.6,0.065441
26.0,4.8,0.6,0.062364
28.0,4.8,0.6,0.060223
30.0,4.8,0.6,0.056945
32.0,4.8,0.6,0.055799
34.0,4.8,0.6,0.054572
35.0,4.8,0.6,0.053783
0.0,5.6,0.6,0.98
2.0,5.6,0.6,0.39029
4.0,5.6,0.6,0.252904
6.0,5.6,0.6,0.191786
8.0,5.6,0.6,0.15659
10.0,5.6,0.6,0.133193
12.0,5.6,0.6,0.116177
14.0,5.6,0.6,0.10307
16.0,5.6,0.6,0.092617
18.0,5.6,0.6,0.084133
20.0,5.6,0.6,0.07722
22.0,5.6,0.6,0.071634
24.0,5.6,0.6,0.067213
26.0,5.6,0.6,0.063839
28.0,5.6,0.6,0.061413
30.0,5.6,0.6,0.057576
32.0,5.6,0.6,0.056183
34.0,5.6,0.6,0.054743
35.0,5.6,0.6,0.053866
0.0,6.4,0.6,0.98
2.0,6.4,0.6,0.411291
4.0,6.4,0.6,0.267877
6.0,6.4,0.6,0.202787
8.0,6.4,0.6,0.165037
10.0,6.4,0.6,0.139911
12.0,6.4,0.6,0.12167
14.0,6.4,0.6,0.107661
16.0,6.4,0.6,0.096524
18.0,6.4,0.6,0.087503
20.0,6.4,0.6,0.080156
22.0,6.4,0.6,0.074207
24.0,6.4,0.6,0.06947
26.0,6.4,0.6,0.065809
28.0,6.4,0.6,0.063114
30.0,6.4,0.6,0.058807
32.0,6.4,0.6,0.057187
34.0,6.4,0.6,0.055551
35.0,6.4,0.6,0.054592
0.0,7.2,0.6,0.98
2.0,7.2,0.6,0.432353
4.0,7.2,0.6,0.28364
6.0,7.2,0.6,0.214754
8.0,7.2,0.6,0.174476
10.0,7.2,0.6,0.147599
12.0,7.2,0.6,0.128092
14.0,7.2,0.6,0.113137
16.0,7.2,0.6,0.101269
18.0,7.2,0.6,0.091668
20.0,7.2,0.6,0.083848
22.0,7.2,0.6,0.077502
24.0,7.2,0.6,0.072422
26.0,7.2,0.6,0.068456
28.0,7.2,0.6,0.065481
30.0,7.2,0.6,0.060743
32.0,7.2,0.6,0.058895
34.0,7.2,0.6,0.057061
35.0,7.2,0.6,0.056019
0.0,8.0,0.6,0.98
2.0,8.0,0.6,0.455508
4.0,8.0,0.6,0.301716
6.0,8.0,0.6,0.228842
8.0,8.0,0.6,0.185821
10.0,8.0,0.6,0.157005
12.0,8.0,0.6,0.136077
14.0,8.0,0.6,0.120044
16.0,8.0,0.6,0.107335
18.0,8.0,0.6,0.097062
20.0,8.0,0.6,0.08869
22.0,8.0,0.6,0.08188
24.0,8.0,0.6,0.0764
26.0,8.0,0.6,0.07208
28.0,8.0,0.6,0.068786
30.0,8.0,0.6,0.063594
32.0,8.0,0.6,0.061489
34.0,8.0,0.6,0.059432
35.0,8.0,0.6,0.058292
0.0,8.8,0.6,0.98
2.0,8.8,0.6,0.476776
4.0,8.8,0.6,0.318918
6.0,8.8,0.6,0.242507
8.0,8.8,0.6,0.196965
10.0,8.8,0.6,0.166332
12.0,8.8,0.6,0.144053
14.0,8.8,0.6,0.126986
16.0,8.8,0.6,0.113465
18.0,8.8,0.6,0.102536
20.0,8.8,0.6,0.093624
22.0,8.8,0.6,0.086359
24.0,8.8,0.6,0.080487
26.0,8.8,0.6,0.075824
28.0,8.8,0.6,0.072221
30.0,8.8,0.6,0.066614
32.0,8.8,0.6,0.064263
34.0,8.8,0.6,0.061992
35.0,8.8,0.6,0.060757
0.0,9.6,0.6,0.98
2.0,9.6,0.6,0.496664
4.0,9.6,0.6,0.335536
6.0,9.6,0.6,0.255939
8.0,9.6,0.6,0.208046
10.0,9.6,0.6,0.175686
12.0,9.6,0.6,0.152105
14.0,9.6,0.6,0.134031
16.0,9.6,0.6,0.119711
18.0,9.6,0.6,0.108136
20.0,9.6,0.6,0.098689
22.0,9.6,0.6,0.090972
24.0,9.6,0.6,0.084712
26.0,9.6,0.6,0.07971
28.0,9.6,0.6,0.075803
30.0,9.6,0.6,0.069806
32.0,9.6,0.6,0.067216
34.0,9.6,0.6,0.064735
35.0,9.6,0.6,0.063408
0.0,10.4,0.6,0.98
2.0,10.4,0.6,0.515512
4.0,10.4,0.6,0.351771
6.0,10.4,0.6,0.269277
8.0,10.4,0.6,0.219168
10.0,10.4,0.6,0.185145
12.0,10.4,0.6,0.160296
14.0,10.4,0.6,0.141232
16.0,10.4,0.6,0.126121
18.0,10.4,0.6,0.1139
20.0,10.4,0.6,0.103918
22.0,10.4,0.6,0.095748
24.0,10.4,0.6,0.0891
26.0,10.4,0.6,0.083757
28.0,10.4,0.6,0.079549
30.0,10.4,0.6,0.073178
32.0,10.4,0.6,0.070351
34.0,10.4,0.6,0.067662
35.0,10.4,0.6,0.066242
0.0,11.0,0.6,0.98
2.0,11.0,0.6,0.529104
4.0,11.0,0.6,0.363778
